一 一壹
崋 华
崎 崎
崑 昆
崔 崔
崕 崖
崖 崖
崗 岗冈
崘 仑
崙 仑
崛 崛
崢 峥
崩 崩
嵋 嵋
嵌 嵌
嵐 岚
嵒 岩
嵜 崎
嵩 嵩崧
嵬 嵬
嵯 嵯
嵳 嵯
嶂 嶂
嶄 崭
嶇 岖
嶋 岛
嶌 岛
嶝 嶝磴
嶷 嶷
嶺 岭
嶼 屿
嶽 岳
巉 崭
巌 岩
巍 巍魏
巒 峦
巓 巅
巖 岩
巛 巛川
川 川巛
州 州
巡 巡
巣 巢
工 工
左 左
巧 巧
巨 巨钜
巫 巫
差 差
己 己
已 已
巳 巳
巴 巴笆
巵 卮
巷 巷
巻 卷
巽 巽
巾 巾
市 市
布 布
帆 帆拚
帋 纸
希 希稀
帑 帑
帖 帖
帙 帙
帚 帚
帛 帛
帝 帝
帥 帅
師 师
席 席
帯 带
帰 归皈
帳 帐账
帶 带
帷 帷
常 常
帽 帽
幀 帧
幃 帏
幄 幄
幅 幅
幇 帮
幌 幌
幔 幔
幕 幕
幗 帼
幟 帜
幡 幡
幢 幢
幣 币
幤 币
干 干乾
平 平
年 年
幵 开
并 并
幸 幸囟曰
幹 干乾
幺 幺么麽
幻 幻
幼 幼幺么
幽 幽凼
幾 几
广 广
庁 厅
広 广庆
庄 庄
庇 庇
床 床
序 序
底 底
庖 庖
店 店坫
庚 庚
府 府
庠 庠
度 度廓
座 座坐
庫 库
庭 庭
庵 庵
庶 庶
康 康
庸 庸
廁 厕
廂 厢
廃 废
廈 厦
廉 廉
廊 廊
廏 厩
廐 厩
廓 廓度
廖 廖
廚 厨
廛 廛
廝 厮
廟 庙
廠 厂
廡 庑
廢 废
廣 广
廨 廨
廩 廪禀
廬 庐
廰 厅
廱 痈
廳 厅
廴 廴
延 延
廷 廷
廸 迪
建 建
廻 回
廼 乃
廾 廾廿
廿 廿廾
弁 弁瓣办辩辫辨
弃 弃
弄 弄疟
弉 奘
弊 弊
弋 弋
弌 搋一壹
弍 二贰
式 式
弐 贰
弑 弑
弓 弓
弔 吊
引 引
弗 弗
弘 弘
弛 弛
弟 弟
弥 弥
弦 弦
弧 弧
弩 弩
弭 弭
弯 弯
弱 弱
張 张
強 强
弼 弼
弾 弹
彈 弹
彊 强
彌 弥
彎 弯
彑 彐
当 当
彖 彖
彗 彗
彙 汇
彜 彝
彝 彝
彡 彡
形 形
彦 彦
彩 彩
彪 彪
彫 雕
彬 彬份斌
彭 彭
彰 彰
影 影
彳 彳
彷 彷仿
役 役
彼 彼
彿 佛
往 往
征 征徵
徂 徂
徃 往
径 径迳
待 待
徇 徇
很 很
徊 徊
律 律
後 後后
徐 徐
徑 径迳劲
徒 徒
従 从
得 得
徘 徘
徙 徙
從 从
徠 徕来
御 御驭
徨 徨遑
復 复覆
循 循
徭 徭
微 微
徳 德
徴 徵征
徹 彻澈
徼 徼
徽 徽
心 心忄
必 必
忌 忌
忍 忍
忖 忖
志 志
忘 忘
忙 忙
応 应
忝 忝
忠 忠
忤 忤迕
快 快
忰 悴
忱 忱
念 念
忸 忸
忻 忻欣
忽 忽
忿 忿
怎 怎
怏 怏
怒 怒
怕 怕
怖 怖
怙 怙
怛 怛
怜 怜
思 思
怠 怠
怡 怡
急 急
怦 怦
性 性
怨 怨
怩 怩
怪 怪
怫 怫
怯 怯
怱 匆
恁 恁
恂 恂悛
恃 恃
恆 恒
恊 协勰
恋 恋
恍 恍
恐 恐
恒 恒
恕 恕
恙 恙
恚 恚
恟 汹
恠 怪
恢 恢
恣 恣
恤 恤
恥 耻
恨 恨
恩 恩摁
恪 恪
恫 恫
恬 恬
恭 恭
息 息
恰 恰
恵 惠
悃 悃
悄 悄
悉 悉
悋 吝
悌 悌
悍 悍
悒 悒
悔 悔
悖 悖
悚 悚
悛 悛恂
悟 悟
悠 悠
患 患
悦 悦
悩 恼
悪 恶
悲 悲
悳 德
悴 悴
悵 怅
悶 闷懑
悸 悸
悼 悼
悽 凄
情 情
惆 惆
惇 敦
惑 惑
惘 惘
惚 惚
惜 惜
惟 惟
惠 惠
惡 恶
惧 惧
惨 惨
惰 惰
惱 恼嬲
想 想
惴 惴
惶 惶
惷 蠢
惹 惹
惺 惺醒
惻 恻
愀 愀
愁 愁
愆 愆
愈 愈愉
愉 愉愈
愍 愍悯
愎 愎
意 意
愕 愕
愚 愚
愛 爱
感 感
愧 愧
愨 悫
愬 诉
愴 怆
愼 慎
愽 博
愾 忾
愿 愿
慂 恿
慄 栗
慇 殷
慈 慈
慊 慊
態 态
慌 慌
慍 愠
慎 慎
慕 慕
慘 惨
慙 惭
慚 惭
慝 慝
慟 恸
慢 慢
慣 惯
慧 慧
慨 慨
慫 怂
慮 虑
慰 慰
慳 悭
慵 慵
慶 庆
慷 慷
慾 欲
憂 忧
憇 憩
憊 惫
憎 憎赠
憐 怜
憑 凭
憔 憔
憙 喜
憚 惮
憤 愤
憧 憧
憩 憩
憫 悯愍
憬 憬
憮 怃
憲 宪
憶 忆
憾 憾
懃 勤
懇 恳
懈 懈
應 应硬
懊 懊
懋 懋
懌 怿
懍 懔檩
懐 怀
懣 懑闷
懦 懦
懲 惩
懴 忏
懶 懒
懷 怀
懸 悬
懺 忏
懼 惧
懽 欢
懾 慑
懿 懿
戀 恋
戈 戈
戉 钺
戊 戊
戌 戌
戍 戍
戎 戎
成 成
我 我
戒 戒
戔 戋
或 或
戚 戚
戛 戛
戝 贼财
戞 戛
戟 戟
戡 戡
戦 战
截 截
戮 戮
戯 戏
戰 战
戲 戏
戳 戳
戴 戴
戸 户
戻 戾
房 房
所 所
扁 扁碥
扇 扇煽
扈 扈
扉 扉
手 手扌
才 才财
扎 扎
打 打
払 拂
托 托拓
扛 扛
扞 擀捍
扠 搋叉
扣 扣
扨 叉
扮 扮
扱 插
扶 扶
批 批
扼 扼
找 找
承 承
技 技
抃 拚
抄 抄
抉 抉
把 把
抑 抑
抒 抒
抓 抓
抔 抱
投 投
抖 抖
抗 抗
折 折翼
抛 抛
抜 拔
択 择
披 披
抬 抬
抱 抱
抵 抵
抹 抹
抻 抻伸
押 押
抽 抽
拂 拂
担 担
拆 拆责
拇 拇
拈 拈
拉 拉
拊 拊抚
拌 拌
拍 拍
拏 拿
拐 拐
拒 拒
拓 拓托
拔 拔
拗 拗
拘 拘
拙 拙
招 招
拜 拜
拝 拜
拠 据
拡 扩
括 括
拭 拭
拮 拮
拯 拯基
拱 拱
拳 拳
拶 拶
拷 拷
拾 拾十
拿 拿
持 持
挂 挂
指 指
挈 挈
按 按
挑 挑
挙 举
挟 挟
挨 挨
挫 挫
振 振
挺 挺
挽 挽掇
挾 挟
挿 插
捉 捉杓
捌 捌八
捍 捍
捏 捏
捐 捐
捕 捕
捜 搜
捧 捧
捨 舍
捩 捩
捫 扪
据 据
捲 卷
捶 捶
捷 捷
捺 捺
捻 捻
掀 掀
掃 扫埽
授 授
掉 掉棹
掌 掌
掎 掎
掏 掏
排 排
掖 掖
掘 掘撅
掛 挂
掠 掠
採 采
探 探
掣 掣
接 接
控 控
推 推
掩 掩揞
措 措
掬 掬
掲 揭
掴 掴
掻 搔
掾 掾
揀 拣柬
揄 揄
揆 揆
揉 揉
描 描
提 提
插 插
揖 揖
揚 扬
換 换
握 握
揣 揣
揩 揩
揮 挥
援 援
揶 揶
揺 摇
搆 构
損 损
搏 搏
搓 搓
搖 摇
搗 捣
搜 搜
搦 搦
搨 搭
搬 搬
搭 搭
搴 搴
搶 抢
携 携
搾 榨
摂 摄
摘 摘
摧 摧
摩 摩
摯 挚
摶 抟
摸 摸
摺 摺
撃 击
撈 捞
撒 撒
撓 挠
撕 撕
撚 捻
撞 撞
撤 撤
撥 拨
撩 撩
撫 抚拊
播 播
撮 撮
撰 撰
撲 扑攴
撹 搅
撻 挞
撼 撼
擁 拥
擂 擂
擅 擅
擇 择
操 操
擒 擒
擔 担
擘 擘
據 据
擠 挤
擡 抬
擢 擢
擣 捣
擦 擦
擧 举
擬 拟
擯 摈
擱 搁
擲 掷
擴 扩
擺 摆
擽 揽
擾 扰
攀 攀扳
攅 攒
攘 攘
攜 携
攝 摄
攣 挛
攤 摊
攪 搅搞
攫 攫
攬 揽
支 支
攴 攴扑攵
攵 攵攴
收 收
攷 考
攸 攸
改 改
攻 攻
放 放
政 政
故 故
效 效
敍 叙
敏 敏
救 救
敕 敕
敖 敖
敗 败
敘 叙
教 教
敝 敝
敞 敞
敢 敢
散 散
敦 敦
敬 敬
数 数
敲 敲搞
整 整
敵 敌
敷 敷
數 数
斂 敛
斃 毙
文 文稳
斈 学
斉 齐
斌 斌彬
斎 斋
斐 斐
斑 斑
斗 斗门
料 料
斛 斛
斜 斜
斟 斟
斡 斡
斤 斤
斥 斥
斧 斧
斫 斫
斬 斩
断 断
斯 斯
新 新
斷 断
方 方
於 於于亏
施 施
旁 旁傍
旃 旃
旄 旄
旅 旅
旆 旆
旋 旋
旌 旌
族 族
旒 旒
旗 旗
旛 幡
无 无
既 既
日 日
旦 旦蛋
旧 旧
旨 旨
早 早
旬 旬
旭 旭旯
旱 旱
旺 旺
昂 昂
昃 昃
昆 昆
昇 升
昊 昊
昌 昌
明 明
昏 昏
易 易
昔 昔
昜 阳
星 星
映 映
春 春
昧 昧
昨 昨
昭 昭
是 是
昴 昴
昵 昵
昶 昶畅
昼 昼
昿 旷
晁 晁朝
時 时
晃 晃
晄 晃
晉 晋
晋 晋
晏 晏
晒 晒
晝 昼
晞 曦
晟 晟
晢 晰
晤 晤
晦 晦
晨 晨
晩 晚
普 普
景 景
晰 晰
晴 晴
晶 晶
智 智
暁 晓
暄 暄
暇 暇
暈 晕
暉 晖
暎 映
暑 暑
暖 暖娠
暗 暗
暘 阳
暝 暝
暢 畅昶
暦 历
暫 暂
暮 暮
暴 暴
暸 了
暹 暹
暾 暾
曁 暨
曄 晔
