一 一壹弌
扎 扎紮
扑 撲攴
打 打
托 托拓託
扛 扛
扣 扣釦
执 執
扩 擴拡
扪 捫
扫 掃
扬 揚
扮 扮
扰 擾
扳 攀
扶 扶
批 批
扼 扼
找 找
承 承
技 技
抄 抄
抉 抉刔
把 把
抑 抑
抒 抒
抓 抓
投 投
抖 抖
抗 抗
折 折翼
抚 拊撫
抛 抛
抟 摶
抢 搶
护 護
报 報
披 披
抬 抬擡
抱 抱抔
抵 抵牴
抹 抹
抻 伸抻
押 押
抽 抽
拂 拂払
担 擔担
拆 拆責
拇 拇
拈 拈
拉 拉柆
拊 拊撫
拌 拌
拍 拍
拐 拐枴
拒 拒
拓 托拓
拔 拔抜
拗 拗
拘 拘
拙 拙
拚 帆抃
招 招
拜 拜拝
拟 擬
拣 柬揀
拥 擁
拨 撥
择 擇択
括 括
拭 拭
拮 拮
拯 基拯
拱 拱
拳 拳
拶 拶
拷 拷
拼 秉
拽 曳
拾 十拾
拿 拿拏
持 持
挂 挂掛
指 指
挈 挈
按 按
挑 挑
挚 摯
挛 攣
挞 撻
挟 挾挟
挠 撓
挢 嬌
挤 擠
挥 揮
挨 挨
挫 挫
振 振
挺 挺
挽 挽輓
捉 捉杓
捌 八捌
捍 捍扞
捏 捏
捐 捐
捕 捕
捞 撈
损 損
换 換
捣 搗擣
捧 捧
捩 捩
据 据據拠
捶 捶
捷 捷
捺 捺
捻 捻撚
掀 掀
掇 挽
授 授
掉 掉櫂
掌 掌
掎 掎
掏 掏
排 排
掖 掖
掘 掘
掠 掠
探 探
掣 掣
接 接
控 控
推 推
掩 掩
措 措
掬 掬
掳 虜
掴 掴
掷 擲
掾 掾
揄 揄
揆 揆
揉 揉
描 描
提 提
插 插扱挿
揖 揖
揞 掩
握 握
揣 揣
揩 揩
揭 結掲
援 援
揶 揶
揽 攬擽
搁 擱
搅 攪撹
搋 壹扠弌
搏 搏
搓 搓
搔 掻
搜 搜捜
搞 敲攪
搦 搦
搬 搬
搭 搭搨
搴 搴
携 攜携
摁 恩
摄 攝摂
摆 擺
摇 搖揺
摈 擯
摊 攤
摒 屏
摘 摘
摧 摧
摩 摩
摸 摸
摺 摺
撅 掘
撒 撒
撕 撕
撞 撞
撤 撤
撩 撩
播 播
撮 撮
撰 撰
撼 撼
擀 扞
擂 擂
擅 擅
操 操
擒 擒
擗 劈
擘 擘
擢 擢
擦 擦
攀 攀
攒 攅
攘 攘
攫 攫
支 支
攴 撲攴攵
攵 攴夊攵
收 收収
攸 攸
改 改
攻 攻
放 放
政 政
故 故
效 效傚効
敌 敵
敏 敏
救 救
敕 敕勅
敖 敖
教 教
敛 斂歛
敝 敝
敞 敞
敢 敢
散 散
敦 敦惇
敬 敬
数 數数
敲 敲
整 整
敷 敷
文 文穩
斋 齊齋斎
斌 彬斌
斐 斐
斑 斑
斗 斗鬥闘鬪
料 料
斛 斛
斜 斜
斟 斟
斡 斡
斤 斤
斥 斥
斧 斧
斩 斬
斫 斫
断 斷断
斯 斯
新 新
方 方
於 于於
施 施
旁 傍旁
旃 旃
旄 旄
旅 旅
旆 旆
旋 旋
旌 旌
族 族
旒 旒
旗 旗籏
无 無无
既 既
日 日
旦 旦蛋
旧 舊旧
旨 旨
早 早
旬 旬
旭 旭
旯 旭
旱 旱
时 時
旷 曠昿
旺 旺
昂 昂
昃 昃
昆 昆崑
昊 昊
昌 昌
明 明
昏 昏
易 易
昔 昔
昙 曇
星 星
映 映暎
春 春
昧 昧
昨 昨
昭 昭
是 是
昴 昴
昵 昵
昶 昶暢
昼 晝昼
显 顯顕
晁 晁朝
晃 晃晄
晋 晉晋
晏 晏
晒 晒
晓 曉暁
晔 曄
晕 暈
晖 暉
晚 晩
晟 晟
晤 晤
晦 晦
晨 晨
普 普
景 景
晰 晰晢
晴 晴
晶 晶
智 智
暂 暫
暄 暄
暇 暇
暑 暑
暖 暖煖
暗 暗闇
暝 暝
暧 曖瞹
暨 曁
暮 暮
暴 暴
暹 暹
暾 暾
曙 曙
曜 曜耀燿
曝 曝
曦 曦晞
曩 曩
曰 幸曰倖
曲 曲
曳 曳曵
更 更
曷 曷
曹 曹
曼 曼
曾 曾曽
替 替
最 最
月 月
有 有
朋 朋
服 服
朔 朔
朕 朕
朗 朗朖
望 望
朝 晁朝
期 期逞朞
朦 朦矇
木 木
未 未
末 末
本 冕本蔗夲
札 札剳
术 朮術
朱 朱
朴 朴樸
朵 朶
机 机機
朽 朽
杀 殺
杂 雜襍雑
权 權権
杆 杆桿
杉 杉
李 李
杏 杏
材 材
村 村邨
杓 捉杓
杖 杖
杜 杜
杞 杞
束 束
杠 杠槓
条 條糶条
来 耒來徠来
杨 楊
杪 杪
杭 杭
杯 杯盃
杰 杰傑
杲 杲
杳 杳
杵 杵
杷 杷
杼 杼
松 松鬆枩
板 板版
极 極
构 搆構
枇 枇
枉 枉
枋 枋
析 析
枕 枕
林 林
枚 枚
果 果菓
枝 枝
枞 樅
枢 樞枢
枣 棗
枥 櫪
枪 槍鎗
枫 楓
枭 梟
枯 枯
枳 枳
架 架
枷 枷
枸 枸
柁 柁舵
柄 柄
柏 孛柏栢
某 某厶
柑 柑
柒 七漆
染 染
柔 柔
柘 柘
柚 柚
柜 匱櫃饋
柝 柝
柞 柞
柠 檸
柢 柢
查 査
柩 柩柾
柬 柬揀
柯 柯
柰 奈
柱 柱
柳 柳
柴 柴
柽 柳
柿 柿
栀 梔
栅 柵
标 標
栈 棧桟
栉 櫛
栊 槞
栋 棟
栌 櫨枦
栎 櫟檪
栏 欄
树 樹
栓 栓
栖 栖棲
栗 栗慄
栝 檜
校 校
栩 栩
株 株
栲 栲
样 樣様
核 核覈
根 根
格 格
栽 栽
栾 欒
桀 桀
桁 桁航
桂 桂
桃 桃
框 框
案 案
桌 棹
桎 桎
桐 桐
桑 桑
桓 桓
桔 桔
桠 椏
桡 橈
档 档
桤 榿
桥 橋
桦 樺
桧 檜桧
桴 桴
桶 桶
桷 桷
梁 梁
梃 梃
梅 梅楳
梏 梏
梓 梓
梗 梗
梢 梢
梦 夢梦
梧 梧
梨 梨
梭 梭
梯 梯
械 械
梳 梳
梵 梵
检 檢検
棂 櫺
棉 棉
棋 棋棊碁
棍 棍
棒 棒
棕 棕椶
棘 棘
棚 棚
棠 棠
棣 棣
森 森
棰 槌
棱 楞稜
棹 卓掉棹櫂
棺 棺
椁 槨椁
椅 椅
椋 椋
植 植
椎 椎槌
椒 椒
椠 槧
椭 橢楕
椰 椰
椴 椴
椹 椹
椽 椽
椿 椿
楂 槎
楔 楔
楚 楚
楝 楝
楞 楞稜
楠 楠
楫 楫
楮 楮
楷 楷
楸 楸
楹 楹
楼 樓楼
概 概
榄 欖
榆 楡
榈 櫚
榉 欅
榔 榔
榕 榕
榘 矩
榛 榛
榜 榜
榧 榧
榨 酢搾
榱 榱
榴 榴
榻 榻
槁 槁
槊 槊
槌 椎槌
槎 槎
槐 槐
槛 檻
槟 檳梹
槭 槭
槲 槲
槽 槽
槿 槿
樊 樊
樗 樗
樟 樟
模 模
横 横
樯 檣艢
樱 櫻桜
樵 樵
樽 樽墫節
橄 橄
橇 橇
橘 橘
橙 橙
橡 橡
橹 櫓艫舮艪
橼 櫞
檀 檀
檄 檄
檎 檎
檐 檐簷
檗 檗蘖蘗
檠 檠
檩 懍
檬 檬
欠 欠歉缺
次 次
欢 懽歡讙驩歓
欣 忻欣
欤 歟
欧 歐欧
欲 欲慾
欷 欷
欹 欹猗
欺 欺
款 款
歃 歃
歇 歇
歉 歉
歌 歌謌
歙 歙
止 只止
正 正
此 此
步 歩
武 武
歧 岐
歪 歪
歹 歹
死 死
歼 殲殱
殁 歿
殃 殃
殄 殄
殆 殆
殇 殤
殉 殉
殊 殊
残 殘残
殍 殍
殒 殞隕
殖 殖
殚 殫
殡 殯
殪 殪
殳 殳
殴 毆殴
段 段
殷 殷慇
殿 殿
毁 毀燬
毂 轂
毅 毅
毋 毋
母 母
每 毎
毒 毒
毓 毓育
比 比
毕 畢
毗 毘
毙 斃
毛 毛
毡 氈
毫 毫
毯 毯
毳 毳
氏 氏
民 民
氓 氓
气 气氣気
氛 氛雰
氤 氤
水 水
氵 水
永 永
汀 汀
汁 汁
求 求
汇 匯彙
汉 漢
汐 汐
汕 汕
汗 汗
汝 汝
汞 汞
江 江
池 池
污 汚
汤 湯
汨 汨
汩 汨
汪 汪
汰 汰
汲 汲
汹 恟洶
汽 汽
汾 汾
沁 沁
沂 沂
沃 沃
沈 沈瀋
沉 沈瀋
沌 沌
沐 沐
沓 沓
沙 沙
沛 沛
沟 溝
没 沒没
沥 瀝
沦 淪
沧 滄
沪 滬濾
沫 沫
沮 沮
沱 沱
沲 沱
河 河
